side,start,end,length,measure,accuracy,precision,recall,f1
L,8,14,7,GFA,0.80,0.84,0.80,0.79
R,10,17,8,MD,0.80,0.84,0.80,0.79
L,8,15,8,MD,0.80,0.82,0.80,0.79
R,8,23,16,FA,0.79,0.83,0.79,0.78
R,10,17,8,RD,0.78,0.80,0.78,0.77
L,3,14,12,AD,0.78,0.80,0.78,0.77
R,13,17,5,AD,0.78,0.83,0.78,0.76
R,9,24,16,GFA,0.77,0.80,0.77,0.76
L,13,20,8,RD,0.76,0.78,0.76,0.75
LVR,11,19,9,FA,0.75,0.82,0.75,0.74
L,14,19,6,FA,0.75,0.79,0.75,0.74
LVR,8,11,4,GFA,0.70,0.75,0.70,0.69
LVR,17,20,4,AD,0.69,0.71,0.69,0.66
LVR,6,11,6,MD,0.67,0.66,0.67,0.64
LVR,8,11,4,RD,0.67,0.70,0.67,0.65
