side,start,end,length,measure,accuracy,precision,recall,f1
L,13,20,8,RD,0.87,0.90,0.87,0.87
L,7,13,7,MD,0.85,0.84,0.85,0.84
L,15,23,9,FA,0.84,0.86,0.84,0.83
R,8,26,19,RD,0.83,0.82,0.83,0.81
R,12,24,13,FA,0.78,0.78,0.78,0.76
LVR,6,8,3,RD,0.78,0.80,0.78,0.77
LVR,13,16,4,AD,0.77,0.79,0.77,0.74
R,7,16,10,MD,0.77,0.77,0.77,0.75
LVR,3,8,6,MD,0.77,0.83,0.77,0.75
LVR,6,9,4,FA,0.76,0.77,0.76,0.76
R,2,4,3,GFA,0.73,0.72,0.73,0.71
L,18,23,6,GFA,0.73,0.75,0.73,0.72
L,15,18,4,AD,0.72,0.75,0.72,0.71
R,22,27,6,AD,0.69,0.68,0.69,0.65
