region,side,accuracy,precision,f1,measure,start,end,length
CNV,R,0.86,0.9,0.86,FA,17,23,7
CNV,R,0.79,0.84,0.77,MD,6,23,18
CNV,R,0.79,0.81,0.76,RD,3,20,18
CNV,R,0.78,0.81,0.76,AD,10,21,12
CNV,R,0.76,0.81,0.74,GFA,13,24,12
CNV,L,0.81,0.83,0.81,FA,2,16,15
CNV,L,0.81,0.83,0.81,RD,6,21,16
CNV,L,0.8,0.83,0.79,GFA,0,20,21
CNV,L,0.79,0.81,0.79,MD,0,28,29
CNV,L,0.79,0.81,0.79,AD,13,18,6
CNV,LVR,0.75,0.82,0.74,FA,11,19,9
CNV,LVR,0.7,0.75,0.69,GFA,8,11,4
TPT,R,0.85,0.86,0.83,FA,20,23,4
TPT,R,0.83,0.83,0.8,AD,0,19,20
TPT,R,0.83,0.82,0.81,RD,10,14,5
TPT,L,0.89,0.9,0.88,FA,5,22,18
TPT,L,0.81,0.86,0.79,AD,22,24,3
TPT,L,0.71,0.69,0.68,RD,9,13,5
TPT,LVR,0.98,0.98,0.97,FA,4,14,11
TPT,LVR,0.94,0.97,0.94,GFA,11,15,5
TPT,LVR,0.94,0.93,0.93,RD,11,22,12
TPT,LVR,0.88,0.93,0.88,MD,8,26,19
TPT,LVR,0.88,0.9,0.88,AD,0,7,8
S1,R,0.83,0.82,0.81,RD,8,26,19
S1,R,0.78,0.78,0.76,FA,12,24,13
S1,R,0.77,0.77,0.75,MD,7,16,10
S1,R,0.73,0.72,0.71,GFA,2,4,3
S1,L,0.87,0.9,0.87,RD,13,20,8
S1,L,0.85,0.84,0.84,MD,7,13,7
S1,L,0.84,0.86,0.83,FA,15,23,9
S1,L,0.73,0.75,0.72,GFA,18,23,6
S1,L,0.72,0.75,0.71,AD,15,18,4
S1,LVR,0.78,0.8,0.77,RD,6,8,3
S1,LVR,0.77,0.83,0.75,MD,3,8,6
S1,LVR,0.77,0.79,0.74,AD,13,16,4
S1,LVR,0.76,0.77,0.76,FA,6,9,4
